tf	species	dataset
BRF1	Homo sapiens	ENCSR000DOJ.BRF1.K-562;ENCSR000DNW.BRF1.HeLa-S3
BRF2	Homo sapiens	ENCSR000DOC.BRF2.K-562;ENCSR000DNV.BRF2.HeLa-S3;GSE38303.BRF2.IMR-90_TERT
BRG1	Homo sapiens	GSE94682.BRG1.LNCaP_r1881;GSE105028.BRG1.WA09_heat-shock;GSE108926.BRG1.HS-SY-2_HA-tagged
C11orf30	Homo sapiens	ENCSR350XWY.C11orf30.K-562
C17orf49	Homo sapiens	GSE20303.C17orf49.HeLa
CARM1	Homo sapiens	GSE32349.CARM1.H3396_E2
CBFA2T2	Homo sapiens	ENCSR699PVC.CBFA2T2.K-562;GSE71675.CBFA2T2.NCCIT
CBFA2T3	Homo sapiens	ENCSR697YLJ.CBFA2T3.K-562
CBFB	Homo sapiens	ENCSR860UHK.CBFB.GM12878;GSE23730.CBFB.SKNO1;GSE76937.CBFB.SaOS-2;GSE46044.CBFB.ME-1
CBX1	Homo sapiens	ENCSR819WZE.CBX1.Hep-G2;ENCSR948QLZ.CBX1.K-562
CBX2	Homo sapiens	ENCSR000ATU.CBX2.K-562;GSE34774.CBX2.HEK293T
CBX3	Homo sapiens	ENCSR000ATV.CBX3.K-562;ENCSR000BRT.CBX3.K-562;ENCSR000BUH.CBX3.HCT-116;GSE64467.CBX3.T-47D-MTVL;GSE64467.CBX3.T-47D-MTVL_BPTF
CBX4	Homo sapiens	GSE53495.CBX4.HEK293T
CBX5	Homo sapiens	ENCSR372GIN.CBX5.GM12878;ENCSR272JAT.CBX5.K-562
CBX8	Homo sapiens	ENCSR616MOB.CBX8.A-549;ENCSR000ATW.CBX8.K-562
CC2D1A	Homo sapiens	ENCSR343IFJ.CC2D1A.K-562
CCAR2	Homo sapiens	ENCSR247XFV.CCAR2.Hep-G2;ENCSR598GER.CCAR2.K-562
CCNT2	Homo sapiens	ENCSR000DOA.CCNT2.K-562
CD74	Homo sapiens	GSE88955.CD74.CLL_p1;GSE88955.CD74.CLL_p2;GSE88955.CD74.CLL_p3;GSE88955.CD74.CLL_p4
CDC5L	Homo sapiens	ENCSR121PFY.CDC5L.K-562
CDK2	Homo sapiens	GSE53855.CDK2.T-47D;GSE53855.CDK2.T-47D_PROGESTIN_30M;GSE53855.CDK2.T-47D_PROGESTIN_5M
CDK6	Homo sapiens	GSE52469.CDK6.KB;GSE52469.CDK6.KB_IL
CDK7	Homo sapiens	GSE50622.CDK7.Jurkat;GSE60027.CDK7.Jurkat_DMSO;GSE60027.CDK7.Jurkat_THZ2102;GSE83777.CDK7.Jurkat;GSE45984.CDK7.SK-MEL-147;GSE45984.CDK7.MM1-S
CDK8	Homo sapiens	GSE53602.CDK8.SW480;GSE65138.CDK8.K-562;GSE65138.CDK8.MOLM-14;GSE65138.CDK8.MOLM-14_DMSO;GSE65138.CDK8.MOLM-14_IBET;GSE65138.CDK8.MV4-11;GSE65138.CDK8.SET-2;GSE38258.CDK8.HCT-116_HYPO;GSE38258.CDK8.HCT-116_NOMO;GSE43743.CDK8.MM1-S
CDK9	Homo sapiens	ERP010664.CDK9.BT-474;ERP010664.CDK9.BT-474_INHHDAC;GSE62482.CDK9.CD4_TH1_BAY;GSE62482.CDK9.CD4_TH1_DMSO;GSE51633.CDK9.HEK293T_SIBRD4;GSE51633.CDK9.HEK293T_SICTR;GSE51633.CDK9.HEK293T_SIJMJD6;GSE57431.CDK9.A-375_A771726;GSE57431.CDK9.A-375_DMSO;GSE68052.CDK9.A-375_A771726;GSE68052.CDK9.A-375_DMSO;GSE79288.CDK9.MOLT-4_DMSO;GSE79288.CDK9.MOLT-4_JQ1;GSE82116.CDK9.MV4-11_DMSO;GSE36354.CDK9.P493-6;GSE36354.CDK9.P493-6_CMYC_1H;GSE36354.CDK9.P493-6_CMYC_24H;GSE42161.CDK9.MM1-S_DMSO;GSE42161.CDK9.MM1-S_JQ1;GSE42355.CDK9.MM1-S_DMSO;GSE42355.CDK9.MM1-S_JQ1_500NM;GSE49224.CDK9.MM1-S_JQ1_5000NM;GSE49224.CDK9.MM1-S_JQ1_50NM;GSE70408.CDK9.HCT-116_SHCTR;GSE72622.CDK9.HCT-116
CDK9-HEXIM1	Homo sapiens	GSE68047.CDK9-HEXIM1.A-375
CDX2	Homo sapiens	GSE23436.CDX2.CACO2_DIFF;GSE23436.CDX2.CACO2_PROLIF;GSE31939.CDX2.LS180;GSE31939.CDX2.LS180_125;GSE30026.CDX2.COLO-320
CEBPA	Homo sapiens	ERP002306.CEBPA.liver;ENCSR142IGM.CEBPA.Hep-G2;ERP000209.CEBPA.Hep-G2;GSE102697.CEBPA.Kasumi-1;GSE102697.CEBPA.Kasumi-1_CEBPA-ER;GSE102697.CEBPA.Kasumi-1_CEBPA-ER_E2;GSE102697.CEBPA.Kasumi-1_E2;GSE102697.CEBPA.SKH1;GSE102697.CEBPA.SKH1_CEBPA-ER;GSE102697.CEBPA.SKH1_CEBPA-ER_E2;GSE102697.CEBPA.SKH1_E2;ERP008568.CEBPA.U-937;GSE41629.CEBPA.SGBS;GSE60130.CEBPA.Kasumi-1_SICTR;GSE60130.CEBPA.Kasumi-1_SIRUNX1ETO;GSE88746.CEBPA.MV4-11;GSE87283.CEBPA.SKH1_10d;GSE87283.CEBPA.SKH1_RUNX1-EVI1_KD
CEBPB	Homo sapiens	ENCSR000BRX.CEBPB.GM12878;ENCSR681NOM.CEBPB.GM12878;ENCSR000BTT.CEBPB.Ishikawa;ENCSR000BUB.CEBPB.A-549;ENCSR000DYI.CEBPB.A-549;ENCSR000BQI.CEBPB.Hep-G2;ENCSR000EEE.CEBPB.Hep-G2;ENCSR000EEX.CEBPB.Hep-G2;GSE100486.CEBPB.HL-60_CEBPB_overexpressed;GSE107553.CEBPB.HL-60;ENCSR000EFM.CEBPB.IMR-90;ENCSR000BRQ.CEBPB.K-562;ENCSR000EHE.CEBPB.K-562;ENCSR416QLJ.CEBPB.K-562;ENCSR000BSR.CEBPB.MCF-7;GSE103477.CEBPB.THP-1_eGFP-Pam3csk-0h;GSE103477.CEBPB.THP-1_eGFP-Pam3csk-4h;GSE103477.CEBPB.THP-1_NS1-Pam3csk-0h;GSE103477.CEBPB.THP-1_NS1-Pam3csk-4h;ENCSR000EBV.CEBPB.WA01;ENCSR000BSD.CEBPB.HCT-116;ENCSR000EDA.CEBPB.HeLa-S3;GSE104745.CEBPB.OCI-AML3;GSE104745.CEBPB.OCI-AML3_JQ1_500nM_24h;GSE109061.CEBPB.epididymis_HEE;GSE109061.CEBPB.epididymis_HEE_R1881;GSE82295.CEBPB.HFOB_DIFF;GSE68864.CEBPB.hMSC;GSE68864.CEBPB.hMSC_DMI_HI;GSE68864.CEBPB.hMSC_DMI_LOW;GSE31939.CEBPB.LS180;GSE31939.CEBPB.LS180_125;GSE31621.CEBPB.monocyte;GSE31621.CEBPB.monocyte_MACROPHAGE;GSE88746.CEBPB.MV4-11;GSE87418.CEBPB.SUM159PT_100nMtrametinib_24h;GSE87418.CEBPB.SUM159PT_100nMtrametinib300nMJQ1_24h;GSE87418.CEBPB.SUM159PT_300nMJQ1_24h;GSE87418.CEBPB.SUM159PT_DMSO_24h;GSE98367.CEBPB.monocyte;GSE98367.CEBPB.monocyte_INFg
CEBPD	Homo sapiens	ENCSR000BQJ.CEBPD.Hep-G2;ENCSR000BVY.CEBPD.K-562;GSE89970.CEBPD.HAEC_IL1b_4h
CEBPG	Homo sapiens	ENCSR639IIZ.CEBPG.Hep-G2;ENCSR490LWA.CEBPG.K-562;ENCSR620VIC.CEBPG.K-562;ENCSR094ZCF.CEBPG.MCF-7
CEBPZ	Homo sapiens	ENCSR347NOB.CEBPZ.GM12878;ENCSR000EDO.CEBPZ.Hep-G2;ENCSR618GDK.CEBPZ.K-562
CHAMP1	Homo sapiens	ENCSR065XVO.CHAMP1.K-562;ENCSR315NNL.CHAMP1.K-562
CHD1	Homo sapiens	ENCSR000DZE.CHD1.GM12878;ENCSR398YBM.CHD1.A-549;ENCSR000EFC.CHD1.IMR-90;ENCSR000AQD.CHD1.K-562;ENCSR360JOC.CHD1.MCF-7;ENCSR000AQK.CHD1.WA01;ENCSR000EBU.CHD1.WA01;ENCSR392EAA.CHD1.HeLa-S3;GSE64528.CHD1.LNCaP;GSE64528.CHD1.LNCaP_DHT;GSE64528.CHD1.LNCaP_DHT_KDCHD1;GSE89179.CHD1.hMSC-TERT;GSE89179.CHD1.hMSC-TERT_adipocyte;GSE89179.CHD1.hMSC-TERT_osteoblast
CHD2	Homo sapiens	ENCSR000DZR.CHD2.GM12878;ENCSR067HGI.CHD2.A-549;ENCSR000EED.CHD2.Hep-G2;ENCSR000EHD.CHD2.K-562;ENCSR274SLQ.CHD2.SK-N-SH;ENCSR000EBT.CHD2.WA01;ENCSR000ECP.CHD2.HeLa-S3
CHD4	Homo sapiens	ENCSR751CJG.CHD4.GM12878;ENCSR550SCU.CHD4.A-549;ENCSR000ATL.CHD4.K-562;GSE97839.CHD4.SCC-9;GSE97839.CHD4.SCC-9_DOC1
CHD7	Homo sapiens	ENCSR000AVD.CHD7.K-562;ENCSR000AVA.CHD7.WA01;GSE108506.CHD7.hiPSC;GSE108506.CHD7.hiPSC_AF22_abD3F5;GSE108506.CHD7.hiPSC_derived_lt-NES;GSE108506.CHD7.hiPSC_derived_lt-NES_AF22;GSE108506.CHD7.hiPSC_derived_neural-crest-cell
CHD8	Homo sapiens	GSE57369.CHD8.HNSC;GSE62428.CHD8.T-47D;GSE62428.CHD8.T-47D_ETOH_45;GSE62428.CHD8.T-47D_ETOH_5;GSE62428.CHD8.T-47D_R5020_45;GSE62428.CHD8.T-47D_R5020_5
CIITA	Homo sapiens	GSE52941.CIITA.Raji_AB1
CLOCK	Homo sapiens	ENCSR699YFX.CLOCK.MCF-7;ENCSR934JDG.CLOCK.MCF-7;GSE44236.CLOCK.U2OS;GSE96659.CLOCK.neural_progenitor-O62409;GSE96659.CLOCK.BA10-neocortex_0;GSE96659.CLOCK.BA10-neocortex_1;GSE96659.CLOCK.BA10-neocortex_2;GSE96659.CLOCK.BA10-neocortex_3;GSE96659.CLOCK.BA10-neocortex_4;GSE96659.CLOCK.BA40-neocortex_0;GSE96659.CLOCK.BA40-neocortex_1;GSE96659.CLOCK.BA40-neocortex_2;GSE96659.CLOCK.BA40-neocortex_3;GSE96659.CLOCK.BA40-neocortex_4
COBLL1	Homo sapiens	GSE94577.COBLL1.LTAD_EtOH
CREB1	Homo sapiens	ENCSR000BUF.CREB1.GM12878;ENCSR000BUR.CREB1.Ishikawa;ENCSR000BRA.CREB1.A-549;ENCSR000BRB.CREB1.A-549;ENCSR000BRC.CREB1.A-549;ENCSR000BVL.CREB1.Hep-G2;ENCSR112ALD.CREB1.Hep-G2;ENCSR331ORD.CREB1.Hep-G2;ENCSR000BSO.CREB1.K-562;ENCSR620DUQ.CREB1.MCF-7;ENCSR897JAS.CREB1.MCF-7;ENCSR000BSN.CREB1.WA01;GSE109103.CREB1.MDA-MB-134;GSE109103.CREB1.MDA-MB-134_E2;GSE109103.CREB1.MDA-MB-134_FI;GSE63034.CREB1.LNCaP;GSE72082.CREB1.Hep-G2;GSE74928.CREB1.KG-1_DMSO;GSE74928.CREB1.KG-1_XX65023;GSE63034.CREB1.LNCaP-abl;GSE63034.CREB1.LNCaP-abl_SHCTR;GSE63034.CREB1.LNCaP-abl_SHFOXA1
CREB3	Homo sapiens	ENCSR093FKD.CREB3.K-562
CREB3L1	Homo sapiens	ENCSR109YGM.CREB3L1.K-562
CREBBP	Homo sapiens	ENCSR000ATT.CREBBP.K-562;ERP000901.CREBBP.MCF-7;ERP000901.CREBBP.MCF-7_E2;GSE39277.CREBBP.LS180;GSE39277.CREBBP.LS180_125;GSE32349.CREBBP_M742.H3396_E2;GSE32349.CREBBP_M768.H3396_E2;GSE32349.CREBBP_M768.H3396_ETOH;GSE32349.CREBBP.H3396;GSE89688.CREBBP.tonsil_GCBc_p4;GSE89688.CREBBP.tonsil_GCBC_p5
CREM	Homo sapiens	ENCSR839XZU.CREM.GM12878;ENCSR903ELW.CREM.Hep-G2;ENCSR077DKV.CREM.K-562
CRY1	Homo sapiens	GSE44236.CRY1.U2OS
CSNK2A1	Homo sapiens	GSE58607.CSNK2A1.LNCaP_DHT
CTBP1	Homo sapiens	ENCSR237TFX.CTBP1.HEK293T;ENCSR201NQZ.CTBP1.K-562;ENCSR636EYA.CTBP1.MCF-7;GSE58428.CTBP1.LNCaP_DHT1H
CTBP2	Homo sapiens	GSE107013.CTBP2.MCF-7;GSE107013.CTBP2.MCF-7_trps1_ko;ENCSR000EUO.CTBP2.WA01;GSE58428.CTBP2.LNCaP_DHT24H
